property_id,street,suburb,state,postcode,latitude,longitude,price,bedrooms,bathrooms,parking,property_type,is_rural,land_size,land_unit,is_retirement,url,price_int,nearest_station
16072727,3413/22-24 Jane Bell Lane,MELBOURNE,VIC,3000,-37.81022,144.966263,$700 Per Week,2,2,2,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/3413-22-24-jane-bell-lane-melbourne-vic-3000-16072727,700.0,"[144.966263, -37.81022]"
16073124,4807/500 Elizabeth Street,MELBOURNE,VIC,3000,-37.8072433,144.960281,$570 per week pw,2,2,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/4807-500-elizabeth-street-melbourne-vic-3000-16073124,570.0,"[144.960281, -37.8072433]"
16073278,241/538 Little Lonsdale Street,MELBOURNE,VIC,3000,-37.8136978,144.9532,"$1,500 per week",4,2,2,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/241-538-little-lonsdale-street-melbourne-vic-3000-16073278,1.0,"[144.9532, -37.8136978]"
16073343,410/576-578 St Kilda Road,MELBOURNE,VIC,3000,-37.8484154,144.9794,$780 per week,2,2,1,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/410-576-578-st-kilda-road-melbourne-vic-3000-16073343,780.0,"[144.9794, -37.8484154]"
16073561,4006/33 Rose Lane,MELBOURNE,VIC,3000,-37.8150139,144.953873,$420 per week,1,1,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/4006-33-rose-lane-melbourne-vic-3000-16073561,420.0,"[144.953873, -37.8150139]"
16073772,509/228 A'Beckett Street,MELBOURNE,VIC,3000,-37.81031,144.95665,$450 per week,1,1,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/509-228-a-beckett-street-melbourne-vic-3000-16073772,450.0,"[144.95665, -37.81031]"
16073825,802/455 Elizabeth Street,MELBOURNE,VIC,3000,-37.80843,144.9602,$450 per week,2,1,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/802-455-elizabeth-street-melbourne-vic-3000-16073825,450.0,"[144.9602, -37.80843]"
16074036,1601/35 Spring Street,MELBOURNE,VIC,3000,-37.81417,144.974,$650 weekly,1,1,1,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/1601-35-spring-street-melbourne-vic-3000-16074036,650.0,"[144.974, -37.81417]"
6173345,208/565 Flinders Street,MELBOURNE,VIC,3000,-37.82106,144.9559,$400,1,1,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/208-565-flinders-street-melbourne-vic-3000-6173345,400.0,"[144.9559, -37.82106]"
14754785,204/327 La Trobe Street,MELBOURNE,VIC,3000,-37.81105,144.959763,$450/w & Furnished,1,1,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/204-327-la-trobe-street-melbourne-vic-3000-14754785,450.0,"[144.959763, -37.81105]"
15043424,2606/157 A'beckett street,MELBOURNE,VIC,3000,-37.8099174,144.959183,$690/w,2,1,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/2606-157-a-beckett-street-melbourne-vic-3000-15043424,690.0,"[144.959183, -37.8099174]"
15284899,818/139 Lonsdale Street,MELBOURNE,VIC,3000,-37.8107948,144.9683,$380 pw,2,1,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/818-139-lonsdale-street-melbourne-vic-3000-15284899,380.0,"[144.9683, -37.8107948]"
15898358,2403/380 Little Lonsdale Street,MELBOURNE,VIC,3000,-37.8121033,144.95813,$400,1,1,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/2403-380-little-lonsdale-street-melbourne-vic-3000-15898358,400.0,"[144.95813, -37.8121033]"
16066750,2511/155 Franklin Street,MELBOURNE,VIC,3000,-37.8088264,144.959549,$620 per week,2,1,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/2511-155-franklin-street-melbourne-vic-3000-16066750,620.0,"[144.959549, -37.8088264]"
16066795,2912/350 William Street,MELBOURNE,VIC,3000,-37.8112335,144.956482,$400 per week,1,1,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/2912-350-william-street-melbourne-vic-3000-16066795,400.0,"[144.956482, -37.8112335]"
16067395,5206/318 Russell Street,MELBOURNE,VIC,3000,-37.80917,144.9668,$750 per week,2,2,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/5206-318-russell-street-melbourne-vic-3000-16067395,750.0,"[144.9668, -37.80917]"
16067441,924/555 Flinders Street,MELBOURNE,VIC,3000,-37.8209724,144.956482,$480.00,1,1,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/924-555-flinders-street-melbourne-vic-3000-16067441,480.0,"[144.956482, -37.8209724]"
16067598,18/300 King Street,MELBOURNE,VIC,3000,-37.8132248,144.954651,$590,2,1,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/18-300-king-street-melbourne-vic-3000-16067598,590.0,"[144.954651, -37.8132248]"
16068002,300/668 Bourke Street,MELBOURNE,VIC,3000,-37.8166161,144.954285,$550.00,2,2,1,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/300-668-bourke-street-melbourne-vic-3000-16068002,550.0,"[144.954285, -37.8166161]"
16068459,1412/25 Therry Street,MELBOURNE,VIC,3000,-37.8069572,144.9611,$500 per week,2,1,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/1412-25-therry-street-melbourne-vic-3000-16068459,500.0,"[144.9611, -37.8069572]"
16068548,4507/318 Russell Street,MELBOURNE,VIC,3000,-37.80917,144.9668,$650 per week,2,2,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/4507-318-russell-street-melbourne-vic-3000-16068548,650.0,"[144.9668, -37.80917]"
16069105,304/58 La Trobe Street,MELBOURNE,VIC,3000,-37.80843,144.967056,$380 per week,1,1,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/304-58-la-trobe-street-melbourne-vic-3000-16069105,380.0,"[144.967056, -37.80843]"
16069619,1201/118-134 ABeckett Street,MELBOURNE,VIC,3000,-37.80936,144.959732,$430.00,1,1,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/1201-118-134-abeckett-street-melbourne-vic-3000-16069619,430.0,"[144.959732, -37.80936]"
16069866,412/7 Katherine Place,MELBOURNE,VIC,3000,-37.8201866,144.956467,$400 per week,1,1,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/412-7-katherine-place-melbourne-vic-3000-16069866,400.0,"[144.956467, -37.8201866]"
16069867,1109/601 Little Collins Street,MELBOURNE,VIC,3000,-37.81793,144.954834,$370 per week,1,1,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/1109-601-little-collins-street-melbourne-vic-3000-16069867,370.0,"[144.954834, -37.81793]"
16069894,306/33 Rose Lane,MELBOURNE,VIC,3000,-37.8150139,144.953873,$550.00,2,2,1,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/306-33-rose-lane-melbourne-vic-3000-16069894,550.0,"[144.953873, -37.8150139]"
16070098,1905/36 La Trobe Street,MELBOURNE,VIC,3000,-37.8081627,144.96759,$600 per week,2,2,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/1905-36-la-trobe-street-melbourne-vic-3000-16070098,600.0,"[144.96759, -37.8081627]"
