,rank,School,Location,MedianVCE Score,VCE40+%
472,473,Sale College,Sale,26,0
473,474,Tallangatta Secondary College,Tallangatta,26,0
474,475,Roxburgh College,Roxburgh Park,25,3
475,476,Ararat College,Ararat,25,2.7
476,477,Bacchus Marsh College,Bacchus Marsh,25,2.4
477,478,Warrandyte High School,Warrandyte,25,2.2
478,479,Benalla P-12 College,Benalla,25,2
479,480,Box Hill Institute CAE Campus Melbourne,Melbourne,25,2
480,481,Mount Ridley P-12 College,Craigieburn,25,2
481,482,Lowanna College,Newborough,25,1.6
482,483,Broadford Secondary College,Broadford,25,1.3
483,484,St Peters College,Cranbourne,25,1.3
484,485,Swinburne University of Technology TAFE Croydon,Croydon,25,1.3
485,486,Fairhills High School,Knoxfield,25,1
486,487,Cranbourne Secondary College,Cranbourne,25,0.7
487,488,Yarra Hills Secondary College,Mooroolbark,25,0.6
488,489,Lalor North Secondary College,Epping,25,0.5
489,490,Whittlesea Secondary College,Whittlesea,25,0.5
490,491,Fountain Gate Secondary College,Narre Warren,25,0.3
491,492,Portland Secondary College,Portland,25,0.3
492,493,Wyndham Central Secondary College,Werribee,25,0.3
493,494,Nathalia Secondary College,Nathalia,25,0
494,495,Neerim District Secondary College,Neerim South,25,0
495,496,Red Cliffs Secondary College,Red Cliffs,25,0
496,497,Rushworth P-12 College,Rushworth,25,0
497,498,Upper Yarra Secondary College,Yarra Junction,25,0
498,499,Warragul Regional College,Warragul,25,0
499,500,Geelong Baptist College,Lovely Banks,24,3
500,501,Lara Secondary College,Lara,24,2.4
501,502,Baimbridge College,Hamilton,24,2.1
502,503,Stawell Secondary College,Stawell,24,1.9
503,504,Wodonga Senior Secondary College,Wodonga,24,1.9
504,505,Box Hill Senior Secondary College,Mont Albert North,24,1.7
505,506,Mill Park Secondary College,Epping,24,1.6
506,507,Western Heights College,Hamlyn Heights,24,1.4
507,508,Rutherglen High School,Rutherglen,24,0.9
508,509,Grovedale College,Grovedale,24,0.8
509,510,Boronia K-12 College,Boronia,24,0.7
510,511,Western Port Secondary College,Hastings,24,0.7
511,512,Australian International Academy Coburg,North Coburg,24,0.6
512,513,Tarneit Senior College,Tarneit,24,0.6
513,514,Greater Shepparton Secondary College Wanganui Campus,Shepparton,24,0.4
514,515,Alia College,Hawthorn East,24,0
515,516,Colac Secondary College,Colac,24,0
516,517,Euroa Secondary College,Euroa,24,0
517,518,Greater Shepparton Secondary College McGuire Campus,Shepparton,24,0
518,519,Lake Bolac College,Lake Bolac,24,0
519,520,Wallan Secondary College,Wallan,24,0
520,521,Northern Bay P-12 College,Corio,23,1.9
521,522,Hallam Senior Secondary College,Hallam,23,1.6
522,523,Charles La Trobe P-12 College La Trobe,Macleod West,23,1.3
523,524,Lilydale Heights College,Lilydale,23,0.5
